drive,fds,result,penyds,ydsgained,numplays,postime
9,0,End of Half,0,3,3,0:24
10,0,Punt,0,-1,5,2:05
20,3,Touchdown,0,44,8,0:47
6,3,Downs,0,52,11,3:41
18,1,Punt,-5,25,8,4:42
1,0,Punt,0,3,5,2:15
5,4,Fumble,0,76,9,3:52
13,0,Punt,0,0,5,0:31
21,0,Punt,-5,5,8,1:09
11,5,Touchdown,0,51,12,5:21
14,3,Missed FG,-10,51,11,4:26
8,5,Touchdown,15,62,13,2:00
19,0,Safety,-10,0,1,0:07
22,0,End of Game,0,-6,3,0:36
12,3,Touchdown,5,55,10,4:01
16,4,Touchdown,9,33,11,4:43
7,5,Touchdown,0,69,10,3:55
3,1,Punt,-1,9,7,2:55
17,2,Downs,0,38,7,1:24
4,4,Punt,-5,60,15,5:57
2,4,Downs,1,61,11,5:01
15,0,Fumble,0,0,1,0:08
