drive,fds,result,penyds,ydsgained,numplays,postime
1,3,Touchdown,0,65,8,3:04
7,2,Punt,0,33,9,4:04
14,4,Field Goal,15,69,13,4:23
17,1,Punt,0,7,7,2:54
23,1,End of Game,0,12,2,0:17
4,0,Punt,0,6,4,1:31
8,0,Fumble,0,-6,1,0:10
19,0,Punt,0,-4,6,0:56
15,0,Punt,0,0,5,1:37
6,5,Touchdown,5,48,13,5:37
5,0,Punt,0,-3,4,2:10
9,0,Missed FG,0,-12,5,2:14
2,1,Punt,-5,26,9,4:05
21,4,Downs,-10,72,14,3:53
3,1,Interception,0,17,3,1:33
11,0,End of Half,0,0,1,0:01
13,1,Punt,-5,13,8,1:39
22,0,Punt,0,-1,4,2:18
12,0,Touchdown,0,0,2,0:12
16,1,Punt,0,19,6,2:50
20,6,Touchdown,3,76,13,6:54
10,3,Field Goal,0,37,13,5:31
18,3,Touchdown,-10,81,6,2:07
