drive,fds,result,penyds,ydsgained,numplays,postime
11,3,Missed FG,5,40,11,2:07
23,4,Touchdown,1,65,14,4:30
3,0,Punt,0,-8,4,1:23
10,7,Touchdown,0,93,14,5:03
17,0,Punt,0,-2,4,1:32
1,2,Field Goal,0,50,9,3:16
5,0,Punt,0,-6,4,1:40
8,2,Touchdown,3,19,5,0:54
15,3,Field Goal,5,45,11,3:27
21,2,Punt,0,27,9,4:22
7,4,Field Goal,4,74,13,4:33
13,4,Interception,10,60,12,3:03
14,1,Punt,0,20,7,3:25
9,3,Punt,10,31,12,4:58
6,5,Touchdown,0,64,10,2:37
12,2,Field Goal,-15,55,9,0:35
18,2,Field Goal,-5,39,13,3:06
19,0,Punt,0,6,5,0:52
20,3,Downs,0,53,13,2:31
2,0,Punt,-10,7,6,1:39
4,0,Punt,0,0,4,1:15
16,0,Punt,0,0,5,0:39
24,2,End of Game,-20,30,11,1:53
22,1,Interception,0,12,2,0:40
