drive,fds,result,penyds,ydsgained,numplays,postime
17,2,Touchdown,0,80,5,1:17
26,4,Punt,0,58,14,7:42
24,2,Touchdown,0,18,6,1:33
16,4,Touchdown,17,71,12,3:45
20,0,Punt,0,9,4,1:31
19,0,Punt,0,-6,4,1:35
22,1,Touchdown,0,73,2,0:13
27,3,Interception,0,41,10,1:57
8,6,Touchdown,0,75,15,6:28
18,0,Punt,0,7,5,1:21
11,2,Interception,0,33,7,1:04
23,0,Interception,-5,0,3,0:10
2,1,Touchdown,0,2,2,0:04
14,0,Punt,0,8,5,1:30
7,0,Punt,0,2,4,0:54
9,3,Field Goal,0,62,12,5:19
25,0,Punt,0,9,5,0:56
4,4,Touchdown,0,74,11,5:03
5,3,Touchdown,0,80,9,2:42
15,2,Field Goal,0,60,8,3:27
6,0,Punt,0,-3,5,1:19
28,0,End of Game,0,-1,2,0:37
21,1,Punt,0,12,6,2:26
13,0,End of Half,0,2,1,0:37
3,0,Punt,0,3,5,1:21
1,0,Interception,0,8,4,1:15
10,1,"Fumble, Safety",-5,-20,8,3:17
12,0,Punt,0,4,6,0:37
