drive,fds,result,penyds,ydsgained,numplays,postime
9,5,Touchdown,0,67,15,6:34
5,0,Punt,-10,17,5,2:32
6,0,Punt,-10,7,5,1:29
24,0,Punt,0,7,5,1:20
18,0,Punt,-10,0,7,0:46
25,1,Punt,-10,25,10,4:30
8,6,Touchdown,-10,90,14,5:24
21,3,Touchdown,1,21,9,1:22
23,4,Touchdown,0,46,10,5:25
7,4,Touchdown,0,75,8,2:45
4,0,Punt,0,5,5,1:35
10,3,Fumble,15,47,7,1:00
17,3,Touchdown,0,35,5,1:19
14,1,Interception,0,33,4,1:59
13,1,Punt,0,29,8,3:08
16,0,Interception,0,1,2,0:46
2,2,Fumble,0,22,6,2:40
19,1,Punt,0,26,5,2:15
3,2,Touchdown,0,24,7,3:07
15,1,Interception,0,15,5,1:26
12,4,Touchdown,5,78,8,2:03
20,0,Interception,0,-1,2,0:49
26,0,End of Game,0,6,2,0:15
11,4,Field Goal,17,54,11,1:16
22,1,Interception,-5,34,7,2:37
1,2,Punt,15,15,6,1:38
