drive,fds,result,penyds,ydsgained,numplays,postime
24,3,Downs,58,-7,8,1:56
20,1,Punt,-5,25,7,2:41
21,0,Punt,0,9,4,1:58
22,0,Interception,0,1,2,1:29
23,2,Downs,-5,36,11,4:01
1,4,Touchdown,5,75,10,4:06
3,1,Interception,-5,8,6,2:28
2,0,Punt,0,9,6,1:29
5,0,Punt,0,1,5,1:31
4,1,Touchdown,0,1,3,0:43
7,2,Interception,5,13,8,2:02
6,3,Field Goal,-10,50,11,4:11
9,1,Punt,0,24,8,3:39
8,3,Touchdown,-10,71,9,4:00
11,3,Blocked FG,-10,62,15,2:49
10,1,Punt,0,28,6,2:53
13,2,Punt,12,25,9,2:42
12,0,End of Half,0,-1,3,0:09
15,1,Field Goal,0,17,5,1:10
14,2,Interception,0,23,6,2:36
17,3,Field Goal,-4,50,16,6:49
16,0,Punt,0,-6,6,1:46
19,0,Punt,0,-4,5,1:38
18,0,Punt,0,0,5,1:14
