drive,fds,result,penyds,ydsgained,numplays,postime
9,4,Touchdown,0,66,10,3:45
10,5,Touchdown,0,75,14,1:50
20,2,Touchdown,0,80,6,1:18
6,5,Touchdown,5,85,13,6:11
18,1,Touchdown,0,90,5,1:39
1,0,Punt,0,9,5,1:33
5,4,Touchdown,0,75,13,4:19
13,5,Touchdown,0,64,15,7:33
21,2,Punt,0,33,13,3:38
23,1,End of Game,1,3,10,2:02
11,0,End of Half,0,-1,3,0:02
14,5,Touchdown,10,70,13,5:03
8,1,Interception,0,16,3,1:23
19,0,Fumble,0,-17,3,0:44
22,0,Downs,0,-5,4,0:48
12,1,Punt,-15,17,6,2:35
16,0,Fumble,0,1,4,1:38
7,0,Punt,0,-5,5,1:45
3,0,Punt,0,5,4,1:37
17,1,Touchdown,0,9,2,0:05
4,5,Touchdown,5,75,14,6:38
2,0,Punt,-5,2,5,0:57
15,4,Touchdown,0,80,8,2:57
