drive,fds,result,penyds,ydsgained,numplays,postime
17,0,Interception,0,6,4,0:39
16,3,Touchdown,0,80,9,2:41
20,4,Touchdown,0,80,12,3:19
19,1,Fumble,0,9,4,1:26
22,0,Downs,0,0,5,1:07
8,6,Touchdown,18,62,13,5:43
18,0,Missed FG,0,4,4,1:56
11,0,Punt,-12,0,4,0:30
23,0,End of Game,0,-3,4,1:49
2,2,Punt,0,31,8,2:38
14,2,Interception,0,22,7,1:57
7,2,Punt,0,32,9,2:56
9,3,Field Goal,-5,70,13,2:00
4,0,Punt,0,-5,5,1:33
5,3,Field Goal,0,44,11,3:52
15,4,Touchdown,0,80,12,3:35
6,4,Touchdown,0,80,9,2:29
21,1,Blocked Punt,-25,32,10,4:24
13,3,Field Goal,0,48,9,4:21
3,6,Touchdown,5,83,15,6:47
1,2,Field Goal,0,75,8,2:02
10,1,Fumble,0,35,6,1:52
12,0,Punt,0,0,4,0:24
