drive,fds,result,penyds,ydsgained,numplays,postime
9,5,Touchdown,0,92,12,1:31
1,0,Punt,5,-5,6,2:07
12,2,Field Goal,0,56,8,3:27
4,5,Touchdown,0,59,12,5:25
11,0,Punt,0,8,5,1:49
2,4,Touchdown,0,61,7,2:58
20,0,Punt,0,2,4,0:27
13,3,Field Goal,-5,70,11,4:43
15,3,Touchdown,-5,85,11,2:35
10,0,End of Half,0,-1,3,0:09
18,1,Punt,0,13,5,2:00
8,2,Punt,-20,42,13,4:14
6,6,Touchdown,-6,97,15,7:37
19,1,Punt,0,20,6,2:07
14,3,Field Goal,-15,79,13,4:54
3,0,Punt,-5,9,6,1:26
17,2,Punt,-5,36,9,3:02
7,0,Punt,0,7,5,1:21
16,1,Punt,0,26,6,1:56
5,2,Punt,5,27,11,3:12
21,2,End of Game,0,31,11,3:00
