drive,fds,result,penyds,ydsgained,numplays,postime
1,1,Punt,0,25,7,3:35
9,0,Punt,-5,-1,5,1:12
18,1,Downs,0,25,8,2:54
20,4,Downs,0,62,12,3:20
15,3,Field Goal,-15,83,12,5:45
16,2,Punt,-10,32,15,5:17
14,0,Punt,0,1,4,2:13
19,0,Punt,0,4,4,2:14
17,0,Punt,0,9,4,1:45
6,0,Interception,0,0,1,0:10
12,0,End of Half,0,8,3,0:30
8,1,Punt,5,-1,7,3:07
13,0,Punt,0,4,5,2:04
5,1,Fumble,0,9,8,3:10
10,0,Punt,0,-3,4,1:25
2,0,Punt,0,1,4,1:42
3,3,Touchdown,-10,64,11,5:43
7,2,Touchdown,0,29,6,2:52
11,1,Field Goal,-10,47,8,2:29
22,0,End of Game,0,7,2,0:26
21,2,Downs,0,47,13,4:02
4,5,Touchdown,0,75,11,4:05
