drive,fds,result,penyds,ydsgained,numplays,postime
27,3,Field Goal,5,41,13,4:32
23,2,Touchdown,-5,101,10,2:37
7,2,Punt,-15,34,13,4:36
15,0,Punt,-5,4,6,2:03
10,0,Touchdown,0,0,2,0:12
6,2,Punt,-5,34,11,5:28
4,2,Punt,-5,17,10,3:03
29,2,Field Goal,5,27,6,1:01
25,0,End of Half,0,-1,3,0:12
3,0,Punt,0,2,4,2:02
16,4,Touchdown,0,63,14,5:20
26,3,Field Goal,12,37,13,6:09
12,0,Punt,0,-7,7,1:03
21,2,Touchdown,-15,103,5,1:37
2,0,Punt,0,4,4,1:32
8,0,Punt,0,2,4,1:08
24,8,Touchdown,15,60,19,2:48
9,0,Safety,0,-5,3,0:48
14,0,End of Half,0,-1,2,0:13
22,1,Punt,0,15,7,2:10
18,0,Punt,0,6,6,0:47
5,2,Punt,0,27,7,2:58
13,0,Punt,0,8,5,0:31
20,0,Punt,-10,13,6,2:55
28,2,Missed FG,0,31,13,3:16
11,4,Field Goal,11,49,13,4:17
19,0,Punt,-4,-6,5,2:24
17,5,Touchdown,5,70,15,7:07
1,0,Punt,-10,9,6,2:09
