drive,fds,result,penyds,ydsgained,numplays,postime
25,1,Downs,0,21,6,0:47
18,0,Punt,0,0,4,0:21
15,2,Field Goal,40,23,9,2:40
24,0,Punt,0,3,5,1:03
2,0,Punt,0,1,4,0:48
1,2,Fumble,0,39,6,1:57
17,0,Punt,0,9,5,1:36
23,3,Interception,5,31,12,2:43
11,2,Touchdown,0,12,9,3:54
14,1,Touchdown,0,17,4,0:08
8,3,Touchdown,0,43,5,1:59
4,3,Field Goal,21,33,11,4:40
13,0,Interception,0,-2,4,0:53
7,0,Punt,0,-2,5,1:19
26,0,End of Game,0,-2,3,0:46
5,1,Punt,-20,21,7,1:34
20,3,Touchdown,-9,84,10,3:28
22,0,Punt,-5,12,6,2:15
3,3,Field Goal,-10,63,11,5:18
6,0,Punt,0,8,5,1:51
19,2,Field Goal,0,37,7,2:42
21,6,Touchdown,11,64,16,6:51
10,0,Interception,0,5,3,1:24
9,1,Punt,0,18,8,2:44
12,3,Downs,0,32,16,2:32
16,2,Field Goal,0,45,8,3:17
