drive,fds,result,penyds,ydsgained,numplays,postime
9,1,Touchdown,0,3,2,0:03
24,0,Punt,-5,14,9,0:40
10,4,Field Goal,-15,62,17,3:35
20,2,Field Goal,4,52,10,4:20
6,0,Downs,0,9,4,1:44
18,0,Fumble,0,-5,2,0:52
26,0,End of Game,0,-1,2,0:24
25,4,Downs,5,39,13,3:30
1,2,Punt,0,24,11,5:16
5,0,Punt,0,-8,5,1:29
13,1,Field Goal,16,1,6,1:09
21,0,Punt,0,-1,5,1:24
23,5,Touchdown,5,66,10,3:28
11,0,End of Half,0,0,1,0:05
14,5,Touchdown,0,80,13,4:00
8,0,Fumble,0,-8,3,0:19
19,1,Field Goal,4,7,7,0:39
22,0,Punt,-5,2,5,0:55
12,0,Punt,0,-9,5,2:03
16,1,Touchdown,0,1,3,0:51
7,2,Field Goal,0,26,11,6:10
3,2,Interception,0,24,7,3:22
17,2,Punt,0,27,7,2:40
4,5,Touchdown,8,64,15,5:26
2,4,Touchdown,0,83,6,2:31
15,2,Interception,0,26,7,3:05
