drive,fds,result,penyds,ydsgained,numplays,postime
9,1,Punt,0,9,7,2:03
10,0,Punt,0,7,4,1:34
20,2,Missed FG,15,22,8,3:25
6,1,Punt,0,18,7,3:07
18,5,Field Goal,20,49,15,5:54
1,1,Punt,-5,20,9,3:20
5,2,Interception,0,24,4,2:19
13,0,Punt,0,2,5,2:01
21,1,Punt,0,8,5,2:46
11,0,Punt,0,8,6,1:12
14,0,Punt,0,5,4,1:02
8,3,Touchdown,8,18,8,2:41
19,0,Punt,0,5,5,0:58
22,5,Downs,1,95,16,5:42
12,0,Punt,0,-11,5,0:48
16,3,Field Goal,0,37,12,5:51
7,3,Interception,-5,39,9,3:54
3,1,Field Goal,0,31,7,3:27
17,1,Touchdown,0,80,4,0:16
4,0,Punt,-10,7,7,1:59
2,1,Punt,3,-1,8,3:36
15,0,Punt,0,2,4,2:05
