drive,fds,result,penyds,ydsgained,numplays,postime
20,1,Punt,0,27,13,2:10
21,0,End of Game,0,6,2,0:02
1,3,Punt,0,40,13,4:21
3,1,Punt,0,17,7,2:58
2,1,Punt,0,23,6,3:23
5,5,Field Goal,0,88,12,4:55
4,1,Punt,5,10,7,2:25
7,5,Touchdown,0,75,12,3:05
6,5,Touchdown,36,55,10,4:07
9,0,Field Goal,0,7,5,0:55
8,1,Punt,-10,44,10,3:13
11,5,Touchdown,0,81,12,3:43
10,3,Missed FG,0,35,11,0:38
13,1,Punt,-15,28,9,3:52
12,2,Interception,0,64,5,1:49
15,5,Touchdown,0,75,16,6:42
14,4,Touchdown,0,85,6,1:54
17,1,Downs,13,12,8,2:17
16,3,Touchdown,-5,80,8,2:31
19,6,Touchdown,0,75,10,2:23
18,3,Touchdown,5,45,7,2:37
