drive,fds,result,penyds,ydsgained,numplays,postime
9,3,Touchdown,0,84,5,2:07
18,2,End of Game,0,36,12,3:53
6,5,Touchdown,15,70,12,4:25
14,1,Touchdown,-15,55,7,2:12
7,3,Field Goal,15,32,10,4:20
8,1,Punt,0,51,7,2:35
10,6,End of Half,7,79,19,2:26
12,0,Punt,0,1,5,2:17
16,4,Touchdown,-5,85,12,6:16
11,5,Touchdown,7,73,12,4:55
3,3,Touchdown,-10,90,8,2:58
17,5,Field Goal,10,53,13,4:42
4,3,Punt,10,24,11,3:56
2,0,"Fumble, Safety",0,-6,1,0:03
1,1,Punt,-5,24,9,3:09
5,1,Punt,0,13,7,4:01
13,2,Fumble,0,12,8,3:15
15,2,Punt,-5,35,12,2:30
