drive,fds,result,penyds,ydsgained,numplays,postime
9,3,Touchdown,-5,94,10,3:27
24,0,Punt,0,7,4,1:29
10,0,Interception,0,1,3,0:43
20,0,Fumble,0,0,1,0:07
6,2,"Blocked FG, Downs",15,49,7,1:58
27,2,Field Goal,0,61,11,4:15
18,0,Punt,-4,11,6,1:48
28,2,End of Game,0,26,13,2:03
26,1,Touchdown,0,79,3,0:17
25,3,Field Goal,-16,72,12,6:20
1,0,Punt,0,8,5,1:20
5,3,Punt,-5,30,11,2:58
13,0,Punt,-8,3,7,1:18
21,2,Touchdown,0,22,5,1:19
23,2,Punt,0,28,10,3:47
11,3,Interception,0,75,8,4:09
14,1,Field Goal,0,20,6,0:49
8,2,Punt,-10,39,12,3:09
19,1,Touchdown,0,3,3,0:07
22,1,Punt,-10,30,7,2:13
12,1,Punt,-5,29,9,2:18
16,0,Punt,0,9,5,2:19
7,4,Touchdown,0,74,11,4:47
3,0,Punt,0,6,5,0:59
17,3,Touchdown,0,65,8,3:56
4,0,Safety,0,-1,1,0:06
2,1,Punt,0,5,6,1:48
15,0,End of Half,0,-1,3,0:11
