drive,fds,result,penyds,ydsgained,numplays,postime
24,3,Fumble,15,29,9,3:17
4,4,Touchdown,0,78,9,3:20
3,0,Punt,0,9,5,1:32
17,0,Punt,0,2,4,1:18
22,3,Downs,10,38,9,3:31
8,1,Touchdown,5,89,3,0:12
14,0,End of Half,0,-1,2,0:14
19,0,Punt,0,1,4,0:53
12,0,Field Goal,-5,-2,5,1:55
9,0,Interception,-15,14,6,1:42
5,0,Punt,0,7,5,1:38
29,0,End of Game,0,6,4,1:53
1,0,Punt,0,0,5,1:06
27,0,Punt,0,-4,5,1:45
23,3,Touchdown,28,28,8,2:50
26,2,Interception,0,15,5,1:59
13,4,Punt,0,49,15,5:13
21,0,Punt,0,-8,4,0:57
2,3,Touchdown,5,54,6,1:50
16,1,Punt,0,18,6,2:29
28,0,Punt,0,7,5,1:46
15,0,Punt,0,7,5,1:23
11,0,Interception,0,2,4,0:48
20,1,Fumble,0,21,4,1:55
25,0,Punt,0,4,4,2:07
6,3,Touchdown,-10,71,10,2:57
18,0,Punt,0,-9,4,1:57
10,3,Touchdown,5,18,6,1:22
7,3,Punt,0,49,15,6:11
