drive,fds,result,penyds,ydsgained,numplays,postime
1,3,Punt,-15,55,14,5:03
21,0,Punt,0,7,5,0:46
17,0,Punt,0,-5,5,2:09
7,0,Punt,0,3,5,1:21
10,3,Field Goal,0,65,13,4:31
20,5,Touchdown,0,80,13,5:39
4,4,Touchdown,-10,54,15,6:14
6,4,Field Goal,15,45,10,4:18
13,2,Touchdown,0,25,6,0:32
25,0,Interception,0,5,2,0:15
14,0,End of Half,5,-1,4,0:13
11,1,Punt,5,8,7,0:34
5,1,Interception,0,29,6,1:09
26,0,End of Game,0,-2,4,1:37
22,0,Punt,0,5,4,1:44
9,2,Field Goal,0,51,8,1:40
19,7,Touchdown,3,77,10,3:27
12,0,Interception,0,5,2,0:34
18,4,Touchdown,33,37,6,2:04
8,0,Punt,0,2,4,1:00
2,1,Fumble,0,28,4,2:17
16,4,Touchdown,0,91,10,4:04
24,2,Punt,-5,24,10,4:46
15,2,Punt,15,21,8,2:41
3,2,Touchdown,0,38,3,0:34
23,0,Punt,-5,12,5,0:48
