drive,fds,result,penyds,ydsgained,numplays,postime
17,0,Punt,0,-18,5,2:13
16,0,Punt,0,3,4,1:51
20,1,Punt,0,25,9,2:18
19,0,Punt,0,-4,4,1:43
22,0,End of Game,0,-3,4,1:34
8,3,End of Half,0,39,8,0:56
18,1,Interception,0,19,4,1:37
11,1,Field Goal,0,25,6,2:07
2,3,Field Goal,-5,32,11,4:55
14,3,Downs,-5,91,12,5:38
7,6,Touchdown,-1,98,19,6:35
9,1,Punt,5,4,8,2:46
4,2,Touchdown,0,81,7,2:49
5,1,Punt,0,11,7,1:17
15,1,Punt,0,30,6,2:15
6,2,Punt,-10,63,12,6:06
21,0,Fumble,0,-9,2,0:12
13,1,Field Goal,0,51,6,1:46
3,6,Touchdown,15,67,13,5:29
1,0,Punt,-5,9,6,1:53
10,0,Fumble,0,5,2,0:43
12,2,Field Goal,10,32,8,3:17
