drive,fds,result,penyds,ydsgained,numplays,postime
2,6,Touchdown,10,68,15,5:33
9,3,Field Goal,0,56,11,4:37
5,1,Punt,0,22,8,3:03
15,1,Field Goal,0,36,6,2:53
6,0,Punt,0,2,4,1:35
19,0,End of Game,0,-1,2,0:21
18,2,Interception,0,18,7,1:08
12,3,Touchdown,0,34,10,4:04
8,1,Field Goal,0,33,10,0:46
3,0,Punt,-5,12,7,1:49
7,5,Touchdown,0,86,10,1:45
4,3,Field Goal,-10,52,15,6:53
10,3,Fumble,-5,49,12,5:11
11,0,Punt,-10,10,6,1:50
14,0,Punt,0,0,5,2:15
17,0,Punt,0,6,7,0:20
1,5,Field Goal,-15,62,20,8:36
13,5,Touchdown,5,60,13,5:00
16,4,Interception,-14,90,11,2:21
