drive,fds,result,penyds,ydsgained,numplays,postime
1,5,Touchdown,0,80,14,7:10
21,2,Fumble,-5,40,9,1:41
17,3,Touchdown,0,59,6,1:38
7,2,Touchdown,0,39,3,0:54
10,0,End of Half,0,8,3,0:19
20,2,Touchdown,-5,44,10,3:13
4,4,Missed FG,0,65,10,5:37
6,0,Interception,0,8,3,0:41
13,3,Fumble,0,69,12,4:12
14,1,Punt,-10,30,8,3:30
11,3,Field Goal,-10,78,12,3:50
5,2,Field Goal,0,36,7,3:29
22,0,End of Game,0,-3,4,1:53
9,5,Touchdown,-10,87,12,2:15
19,0,Downs,-5,4,5,1:16
12,4,Touchdown,0,76,10,4:28
18,0,Punt,0,-3,6,1:46
8,0,Punt,0,8,5,1:29
2,3,Punt,10,25,11,4:07
16,0,Punt,0,6,5,2:08
15,2,Touchdown,0,74,3,0:25
3,3,Punt,0,48,10,3:59
