drive,fds,result,penyds,ydsgained,numplays,postime
18,0,Punt,0,7,4,1:24
15,3,Touchdown,23,58,7,2:05
2,5,Field Goal,0,79,14,6:11
1,1,Punt,15,11,6,2:02
17,1,Downs,-10,36,8,3:23
23,0,End of Game,0,3,2,0:09
11,0,Field Goal,-5,8,6,1:42
14,3,Field Goal,9,64,8,4:07
8,1,Punt,0,13,6,1:48
4,1,Punt,0,11,8,3:08
13,1,Punt,17,-2,5,2:03
7,2,Punt,15,19,6,1:49
5,0,Punt,0,0,4,1:06
20,0,Punt,0,-19,5,1:07
22,1,Punt,-5,15,8,2:19
3,4,Touchdown,0,56,14,5:07
6,5,Touchdown,2,75,10,4:07
19,5,Touchdown,-10,86,14,5:19
21,0,Punt,0,6,7,1:06
10,4,Fumble,2,87,15,2:55
9,0,Punt,0,9,4,1:47
12,1,Downs,0,32,8,3:41
16,0,Punt,0,5,6,1:35
