drive,fds,result,penyds,ydsgained,numplays,postime
21,0,Punt,0,4,4,1:21
10,2,Touchdown,0,26,3,0:45
25,2,Punt,0,30,8,3:33
20,3,Missed FG,0,51,9,3:44
22,0,Punt,0,-5,4,0:59
2,1,Punt,0,25,5,1:18
13,0,Punt,0,0,6,0:24
17,2,Interception,0,39,9,3:57
24,5,Touchdown,0,80,12,5:31
8,1,Punt,0,22,5,2:19
1,0,Punt,0,1,5,1:25
26,2,Punt,0,37,13,2:51
4,2,Downs,0,33,8,3:48
14,1,Missed FG,0,31,8,0:47
12,4,Touchdown,0,80,10,2:17
6,0,Punt,0,6,5,1:41
16,0,Field Goal,0,0,4,0:24
19,2,Fumble,0,14,5,2:44
23,2,Touchdown,15,22,6,1:00
7,0,Punt,-5,1,7,1:05
27,3,Field Goal,9,36,9,1:06
18,1,Punt,15,5,5,2:41
15,0,Interception,0,0,2,0:09
5,6,Touchdown,10,55,10,4:27
3,0,Punt,0,2,4,1:33
11,5,Field Goal,17,60,17,8:04
9,0,Interception,0,0,1,0:07
