drive,fds,result,penyds,ydsgained,numplays,postime
9,0,Punt,0,0,7,1:37
10,1,Fumble,0,51,4,1:17
20,0,Punt,0,0,6,1:05
6,0,Interception,0,0,2,0:26
18,1,Punt,-10,24,10,4:23
1,1,Fumble,-5,28,7,2:41
5,4,Field Goal,0,55,14,5:52
13,1,Interception,-10,19,5,1:51
21,7,Touchdown,-14,104,19,3:25
11,0,End of Half,0,0,2,0:32
14,0,Interception,-10,8,4,1:18
8,5,Touchdown,20,40,14,5:27
19,0,Punt,-4,12,5,0:58
22,0,End of Game,0,-2,4,0:55
12,3,Touchdown,-10,90,8,2:59
16,2,Field Goal,0,28,8,3:49
7,0,Punt,0,6,4,2:32
3,3,Downs,0,41,10,4:44
17,5,Touchdown,-10,90,18,5:21
4,3,Touchdown,0,61,8,2:52
2,0,Punt,-10,6,5,2:00
15,3,Interception,-5,60,9,3:56
