drive,fds,result,penyds,ydsgained,numplays,postime
23,4,End of Game,-5,60,16,2:19
7,0,Punt,0,1,4,0:54
15,3,Missed FG,0,57,12,5:15
10,1,Field Goal,0,36,8,0:55
6,2,Fumble,15,20,6,2:32
4,3,Field Goal,0,73,12,5:30
3,1,Punt,0,13,5,2:39
16,2,Interception,0,34,4,2:09
12,5,Field Goal,5,73,15,6:50
21,0,Fumble,0,8,2,0:11
2,0,Punt,0,6,5,1:07
8,3,Punt,-10,39,10,4:31
9,0,Punt,4,-3,7,1:35
14,1,Punt,0,17,7,2:09
22,0,Field Goal,0,9,6,1:00
18,0,Punt,0,-4,4,1:38
5,3,Field Goal,5,43,11,3:52
13,4,Touchdown,48,33,9,2:48
20,1,Touchdown,0,5,2,0:04
11,3,End of Half,5,42,10,0:31
19,0,Punt,0,9,4,2:16
17,1,Punt,5,2,6,3:21
1,3,Field Goal,0,51,11,5:54
