drive,fds,result,penyds,ydsgained,numplays,postime
1,0,Punt,0,5,5,1:35
19,1,Field Goal,0,14,6,1:50
12,3,Missed FG,20,24,9,2:25
25,0,Punt,0,8,8,1:39
6,0,Punt,0,8,5,1:20
17,0,Punt,0,-1,5,1:10
10,3,Touchdown,0,62,9,0:33
20,0,Punt,0,6,6,1:31
24,2,Field Goal,0,60,9,4:05
14,0,Punt,0,5,5,0:59
23,1,Punt,-10,32,6,2:29
8,2,Punt,0,27,9,2:47
4,1,Punt,0,28,5,2:01
2,3,Field Goal,4,45,15,5:56
16,3,Touchdown,0,64,7,2:04
13,3,Touchdown,0,56,6,2:06
15,0,Punt,0,1,5,1:31
18,0,Punt,-10,12,5,2:08
3,3,Punt,-5,40,11,5:25
26,2,End of Game,0,32,10,1:51
9,2,Missed FG,0,52,11,2:55
7,0,Punt,0,3,4,1:39
21,1,Interception,0,27,2,0:54
11,0,End of Half,0,-1,3,0:13
22,1,Punt,26,15,7,3:18
5,3,Field Goal,0,51,12,5:36
