drive,fds,result,penyds,ydsgained,numplays,postime
20,1,Punt,-10,31,9,3:03
21,0,Punt,0,-2,5,1:48
22,1,End of Game,0,28,4,1:02
1,0,Punt,0,3,5,1:39
3,0,Punt,0,-4,5,1:04
2,4,Touchdown,-5,49,11,5:17
5,2,Field Goal,4,24,10,4:16
4,0,Punt,-10,15,5,1:43
7,0,Punt,0,8,4,1:24
6,0,Punt,0,6,6,1:14
9,2,Punt,-10,20,9,3:40
8,2,Downs,0,36,9,3:56
11,1,End of Half,-5,30,12,0:43
10,6,Touchdown,10,80,19,5:04
13,0,Blocked Punt,0,-5,5,1:48
12,3,Field Goal,0,45,12,5:15
15,2,Touchdown,5,11,4,0:49
14,1,Interception,0,34,6,2:05
17,0,Punt,0,4,4,1:36
16,1,Punt,0,20,6,2:57
19,4,Touchdown,0,91,8,4:12
18,2,Punt,0,29,10,5:25
